Month,Source,Megawatthours
9/22/22,other renewables thousand megawatthours,46079.58966
8/22/22,other renewables thousand megawatthours,44944.92266
7/22/22,other renewables thousand megawatthours,51345.41637
6/22/22,other renewables thousand megawatthours,55482.34296
5/22/22,other renewables thousand megawatthours,62683.67119
4/22/22,other renewables thousand megawatthours,64808.91979
3/22/22,other renewables thousand megawatthours,60705.97234
2/22/22,other renewables thousand megawatthours,52915.21482
1/22/22,other renewables thousand megawatthours,52366.37193
12/21/22,other renewables thousand megawatthours,52094.35389
11/21/22,other renewables thousand megawatthours,49194.91245
10/21/22,other renewables thousand megawatthours,47077.07042
9/21/22,other renewables thousand megawatthours,45997.30841
8/21/22,other renewables thousand megawatthours,45159.0897
7/21/22,other renewables thousand megawatthours,40002.89243
6/21/22,other renewables thousand megawatthours,44702.89359
5/21/22,other renewables thousand megawatthours,52058.7264
4/21/22,other renewables thousand megawatthours,52587.73171
3/21/22,other renewables thousand megawatthours,54425.47933
2/21/22,other renewables thousand megawatthours,38591.23158
1/21/22,other renewables thousand megawatthours,41790.32587
12/20/22,other renewables thousand megawatthours,43202.47546
11/20/22,other renewables thousand megawatthours,44698.69398
10/20/22,other renewables thousand megawatthours,41524.63333
9/20/22,other renewables thousand megawatthours,36584.60925
8/20/22,other renewables thousand megawatthours,38388.5287
7/20/22,other renewables thousand megawatthours,39370.89061
6/20/22,other renewables thousand megawatthours,45419.83582
5/20/22,other renewables thousand megawatthours,43901.50433
4/20/22,other renewables thousand megawatthours,43453.30806
3/20/22,other renewables thousand megawatthours,41951.27314
2/20/22,other renewables thousand megawatthours,40534.25509
1/20/22,other renewables thousand megawatthours,38708.06978
12/19/22,other renewables thousand megawatthours,36268.11001
11/19/22,other renewables thousand megawatthours,35194.18356
10/19/22,other renewables thousand megawatthours,39495.36994
9/19/22,other renewables thousand megawatthours,37438.74116
8/19/22,other renewables thousand megawatthours,34422.07451
7/19/22,other renewables thousand megawatthours,36724.01301
6/19/22,other renewables thousand megawatthours,36485.38188
5/19/22,other renewables thousand megawatthours,38897.54376
4/19/22,other renewables thousand megawatthours,41238.33095
3/19/22,other renewables thousand megawatthours,37935.0336
2/19/22,other renewables thousand megawatthours,32291.06715
1/19/22,other renewables thousand megawatthours,34409.12645
12/18/22,other renewables thousand megawatthours,34065.34506
11/18/22,other renewables thousand megawatthours,32077.20806
10/18/22,other renewables thousand megawatthours,32396.00932
9/18/22,other renewables thousand megawatthours,30678.65375
8/18/22,other renewables thousand megawatthours,33296.22076
7/18/22,other renewables thousand megawatthours,30070.54876
6/18/22,other renewables thousand megawatthours,38608.10134
5/18/22,other renewables thousand megawatthours,37268.03709
4/18/22,other renewables thousand megawatthours,38503.0881
3/18/22,other renewables thousand megawatthours,38255.90114
2/18/22,other renewables thousand megawatthours,33311.01077
1/18/22,other renewables thousand megawatthours,35761.70169
12/17/22,other renewables thousand megawatthours,32246.10665
11/17/22,other renewables thousand megawatthours,32359.22625
10/17/22,other renewables thousand megawatthours,35263.6161
9/17/22,other renewables thousand megawatthours,29297.01565
8/17/22,other renewables thousand megawatthours,26185.84086
7/17/22,other renewables thousand megawatthours,28588.48165
6/17/22,other renewables thousand megawatthours,32774.40649
5/17/22,other renewables thousand megawatthours,35192.77439
4/17/22,other renewables thousand megawatthours,36513.90757
3/17/22,other renewables thousand megawatthours,36935.25707
2/17/22,other renewables thousand megawatthours,30963.82055
1/17/22,other renewables thousand megawatthours,29929.2934
12/16/22,other renewables thousand megawatthours,32582.87261
11/16/22,other renewables thousand megawatthours,28819.10702
10/16/22,other renewables thousand megawatthours,29748.96804
9/16/22,other renewables thousand megawatthours,26529.37947
8/16/22,other renewables thousand megawatthours,24465.3212
7/16/22,other renewables thousand megawatthours,28372.4714
6/16/22,other renewables thousand megawatthours,26236.36075
5/16/22,other renewables thousand megawatthours,28711.06101
4/16/22,other renewables thousand megawatthours,29666.44452
3/16/22,other renewables thousand megawatthours,31084.07116
2/16/22,other renewables thousand megawatthours,28737.86822
1/16/22,other renewables thousand megawatthours,26679.02291
12/15/22,other renewables thousand megawatthours,28601.90271
11/15/22,other renewables thousand megawatthours,28064.82174
10/15/22,other renewables thousand megawatthours,24708.02183
9/15/22,other renewables thousand megawatthours,22647.38039
8/15/22,other renewables thousand megawatthours,22821.39226
7/15/22,other renewables thousand megawatthours,23454.49665
6/15/22,other renewables thousand megawatthours,22560.65293
5/15/22,other renewables thousand megawatthours,26182.20495
4/15/22,other renewables thousand megawatthours,26494.35636
3/15/22,other renewables thousand megawatthours,23943.3078
2/15/22,other renewables thousand megawatthours,22561.31617
1/15/22,other renewables thousand megawatthours,23121.04993
12/14/22,other renewables thousand megawatthours,22621.45863
11/14/22,other renewables thousand megawatthours,26807.47505
10/14/22,other renewables thousand megawatthours,22718.45051
9/14/22,other renewables thousand megawatthours,19893.35736
8/14/22,other renewables thousand megawatthours,19020.80881
7/14/22,other renewables thousand megawatthours,21044.18466
6/14/22,other renewables thousand megawatthours,24464.12929
5/14/22,other renewables thousand megawatthours,23822.30574
4/14/22,other renewables thousand megawatthours,26475.80569
3/14/22,other renewables thousand megawatthours,25850.67852
2/14/22,other renewables thousand megawatthours,21000.8236
1/14/22,other renewables thousand megawatthours,25493.22013
12/13/22,other renewables thousand megawatthours,21625.88278
11/13/22,other renewables thousand megawatthours,23030.46783
10/13/22,other renewables thousand megawatthours,21057.54274
9/13/22,other renewables thousand megawatthours,18991.31617
8/13/22,other renewables thousand megawatthours,17381.9058
7/13/22,other renewables thousand megawatthours,18592.80641
6/13/22,other renewables thousand megawatthours,20954.23384
5/13/22,other renewables thousand megawatthours,23254.25731
4/13/22,other renewables thousand megawatthours,23960.84797
3/13/22,other renewables thousand megawatthours,22810.18819
2/13/22,other renewables thousand megawatthours,20330.38694
1/13/22,other renewables thousand megawatthours,21518.23042
12/12/22,other renewables thousand megawatthours,21400.67405
11/12/22,other renewables thousand megawatthours,18217.13181
10/12/22,other renewables thousand megawatthours,19225.17658
9/12/22,other renewables thousand megawatthours,15401.50605
8/12/22,other renewables thousand megawatthours,15330.49444
7/12/22,other renewables thousand megawatthours,15726.31287
6/12/22,other renewables thousand megawatthours,18469.42585
5/12/22,other renewables thousand megawatthours,18897.91524
4/12/22,other renewables thousand megawatthours,18563.196
3/12/22,other renewables thousand megawatthours,20201.17419
2/12/22,other renewables thousand megawatthours,16995.7147
1/12/22,other renewables thousand megawatthours,19904.25954
12/11/22,other renewables thousand megawatthours,17185.31496
11/11/22,other renewables thousand megawatthours,18589.43134
10/11/22,other renewables thousand megawatthours,16549.79798
9/11/22,other renewables thousand megawatthours,13047.84788
8/11/22,other renewables thousand megawatthours,14053.53748
7/11/22,other renewables thousand megawatthours,14000.44504
6/11/22,other renewables thousand megawatthours,17284.12333
5/11/22,other renewables thousand megawatthours,17637.89875
4/11/22,other renewables thousand megawatthours,18125.23146
3/11/22,other renewables thousand megawatthours,16650.01181
2/11/22,other renewables thousand megawatthours,16115.56676
1/11/22,other renewables thousand megawatthours,14741.98548
12/10/22,other renewables thousand megawatthours,15358.63431
11/10/22,other renewables thousand megawatthours,15782.28754
10/10/22,other renewables thousand megawatthours,13791.0768
9/10/22,other renewables thousand megawatthours,13227.41046
8/10/22,other renewables thousand megawatthours,13100.07661
7/10/22,other renewables thousand megawatthours,13107.1365
6/10/22,other renewables thousand megawatthours,14209.22031
5/10/22,other renewables thousand megawatthours,14630.82261
4/10/22,other renewables thousand megawatthours,15607.22887
3/10/22,other renewables thousand megawatthours,14653.61964
2/10/22,other renewables thousand megawatthours,10900.52455
1/10/22,other renewables thousand megawatthours,12804.96887
12/9/22,other renewables thousand megawatthours,13060.66111
11/9/22,other renewables thousand megawatthours,12810.0734
10/9/22,other renewables thousand megawatthours,12668.07782
9/9/22,other renewables thousand megawatthours,10524.41453
8/9/22,other renewables thousand megawatthours,11790.89806
7/9/22,other renewables thousand megawatthours,11187.13007
6/9/22,other renewables thousand megawatthours,11467.48249
5/9/22,other renewables thousand megawatthours,11864.46773
4/9/22,other renewables thousand megawatthours,12985.92322
3/9/22,other renewables thousand megawatthours,12949.53168
2/9/22,other renewables thousand megawatthours,11230.67809
1/9/22,other renewables thousand megawatthours,11739.3651
12/8/22,other renewables thousand megawatthours,12390.07683
11/8/22,other renewables thousand megawatthours,10782.47354
10/8/22,other renewables thousand megawatthours,10647.06888
9/8/22,other renewables thousand megawatthours,8923.55057
8/8/22,other renewables thousand megawatthours,9514.34814
7/8/22,other renewables thousand megawatthours,10333.21035
6/8/22,other renewables thousand megawatthours,11144.83676
5/8/22,other renewables thousand megawatthours,11099.82949
4/8/22,other renewables thousand megawatthours,10971.00073
3/8/22,other renewables thousand megawatthours,10703.08856
2/8/22,other renewables thousand megawatthours,9348.76005
1/8/22,other renewables thousand megawatthours,10242.75916
12/7/22,other renewables thousand megawatthours,9552.78264
11/7/22,other renewables thousand megawatthours,9028.75999
10/7/22,other renewables thousand megawatthours,9361.56781
9/7/22,other renewables thousand megawatthours,8842.62655
8/7/22,other renewables thousand megawatthours,8894.67965
7/7/22,other renewables thousand megawatthours,8371.23945
6/7/22,other renewables thousand megawatthours,8548.92922
5/7/22,other renewables thousand megawatthours,8620.98714
4/7/22,other renewables thousand megawatthours,8693.00233
3/7/22,other renewables thousand megawatthours,8778.47553
2/7/22,other renewables thousand megawatthours,7876.86761
1/7/22,other renewables thousand megawatthours,8667.59346
12/6/22,other renewables thousand megawatthours,8504.52746
11/6/22,other renewables thousand megawatthours,8304.36634
10/6/22,other renewables thousand megawatthours,8294.69361
9/6/22,other renewables thousand megawatthours,7720.3939
8/6/22,other renewables thousand megawatthours,7893.94045
7/6/22,other renewables thousand megawatthours,8121.4469
6/6/22,other renewables thousand megawatthours,7782.45339
5/6/22,other renewables thousand megawatthours,8035.67013
4/6/22,other renewables thousand megawatthours,7859.9452
3/6/22,other renewables thousand megawatthours,8199.05401
2/6/22,other renewables thousand megawatthours,7374.01837
1/6/22,other renewables thousand megawatthours,8434.98289
12/5/22,other renewables thousand megawatthours,7756.00119
11/5/22,other renewables thousand megawatthours,7322.11699
10/5/22,other renewables thousand megawatthours,7182.04439
9/5/22,other renewables thousand megawatthours,7293.90405
