Year,Source,Megawatthours
2021,other renewables thousand megawatthours,492913.3698
2020,other renewables thousand megawatthours,426969.4316
2019,other renewables thousand megawatthours,370030.33
2018,other renewables thousand megawatthours,343523.1799
2017,other renewables thousand megawatthours,315481.1007
2016,other renewables thousand megawatthours,270864.3023
2015,other renewables thousand megawatthours,224392.2577
2014,other renewables thousand megawatthours,208444.052
2013,other renewables thousand megawatthours,182739.4204
2012,other renewables thousand megawatthours,147564.3353
2011,other renewables thousand megawatthours,123212.5463
2010,other renewables thousand megawatthours,96404.3611
2009,other renewables thousand megawatthours,73510.05732
2008,other renewables thousand megawatthours,55332.35709
2007,other renewables thousand megawatthours,34468.8654
2006,other renewables thousand megawatthours,25756.84666
2005,other renewables thousand megawatthours,16560.75224
2004,other renewables thousand megawatthours,12298.67738
2003,other renewables thousand megawatthours,8718.14338
2002,other renewables thousand megawatthours,8340.52643
2021,wind thousand megawatthours,371459.4428
2020,wind thousand megawatthours,331200.717
2019,wind thousand megawatthours,289145.1515
2018,wind thousand megawatthours,265930.1217
2017,wind thousand megawatthours,247565.3632
2016,wind thousand megawatthours,220255.2301
2015,wind thousand megawatthours,183981.2157
2014,wind thousand megawatthours,174917.9498
2013,wind thousand megawatthours,161102.4134
2012,wind thousand megawatthours,134084.3827
2011,wind thousand megawatthours,113439.2666
2010,wind thousand megawatthours,87914.91408
2009,wind thousand megawatthours,67148.79971
2008,wind thousand megawatthours,48625.76807
2007,wind thousand megawatthours,27712.5954
2006,wind thousand megawatthours,19851.80499
2005,wind thousand megawatthours,11073.21702
2004,wind thousand megawatthours,7406.40874
2003,wind thousand megawatthours,4450.135
2002,wind thousand megawatthours,3616.947
2021,all utility-scale solar thousand megawatthours,114715.4933
2020,all utility-scale solar thousand megawatthours,88655.96012
2019,all utility-scale solar thousand megawatthours,71394.06724
2018,all utility-scale solar thousand megawatthours,63282.55953
2017,all utility-scale solar thousand megawatthours,52744.11007
2016,all utility-scale solar thousand megawatthours,35511.36615
2015,all utility-scale solar thousand megawatthours,24350.1486
2014,all utility-scale solar thousand megawatthours,17148.27619
2013,all utility-scale solar thousand megawatthours,8492.86538
2012,all utility-scale solar thousand megawatthours,3783.92024
2011,all utility-scale solar thousand megawatthours,1274.94065
2010,all utility-scale solar thousand megawatthours,669.42658
2009,all utility-scale solar thousand megawatthours,348.42439
2008,all utility-scale solar thousand megawatthours,321.55979
2007,all utility-scale solar thousand megawatthours,69.038
2006,all utility-scale solar thousand megawatthours,-35.049
2005,all utility-scale solar thousand megawatthours,7.53934
2004,all utility-scale solar thousand megawatthours,32.4
2003,all utility-scale solar thousand megawatthours,-8.75363
2002,all utility-scale solar thousand megawatthours,12.076
2021,geothermal thousand megawatthours,2234.266
2020,geothermal thousand megawatthours,2149.196
2019,geothermal thousand megawatthours,1732.216
2018,geothermal thousand megawatthours,2226.633
2017,geothermal thousand megawatthours,2186.27323
2016,geothermal thousand megawatthours,2085.306
2015,geothermal thousand megawatthours,2177.074
2014,geothermal thousand megawatthours,2136.44
2013,geothermal thousand megawatthours,2034.17308
2012,geothermal thousand megawatthours,1821.92463
2011,geothermal thousand megawatthours,1575.567
2010,geothermal thousand megawatthours,1478.71212
2009,geothermal thousand megawatthours,1268.157
2008,geothermal thousand megawatthours,1099.47556
2007,geothermal thousand megawatthours,896.71199
2006,geothermal thousand megawatthours,827.528
2005,geothermal thousand megawatthours,951.2442
2004,geothermal thousand megawatthours,1070.47354
2003,geothermal thousand megawatthours,683.73
2002,geothermal thousand megawatthours,750.809
2021,wood and wood-derived fuels thousand megawatthours,1262.76763
2020,wood and wood-derived fuels thousand megawatthours,1019.03795
2019,wood and wood-derived fuels thousand megawatthours,3343.47711
2018,wood and wood-derived fuels thousand megawatthours,5736.25392
2017,wood and wood-derived fuels thousand megawatthours,5923.61344
2016,wood and wood-derived fuels thousand megawatthours,5747.32215
2015,wood and wood-derived fuels thousand megawatthours,6728.60055
2014,wood and wood-derived fuels thousand megawatthours,7139.82022
2013,wood and wood-derived fuels thousand megawatthours,4827.63196
2012,wood and wood-derived fuels thousand megawatthours,2599.22409
2011,wood and wood-derived fuels thousand megawatthours,2249.16178
2010,wood and wood-derived fuels thousand megawatthours,1972.25464
2009,wood and wood-derived fuels thousand megawatthours,850.23328
2008,wood and wood-derived fuels thousand megawatthours,2099.94805
2007,wood and wood-derived fuels thousand megawatthours,3814.11902
2006,wood and wood-derived fuels thousand megawatthours,3562.19106
2005,wood and wood-derived fuels thousand megawatthours,3656.51165
2004,wood and wood-derived fuels thousand megawatthours,2916.97838
2003,wood and wood-derived fuels thousand megawatthours,2329.192
2002,wood and wood-derived fuels thousand megawatthours,3465.135
2021,other biomass thousand megawatthours,3241.4
2020,other biomass thousand megawatthours,3944.52048
2019,other biomass thousand megawatthours,4415.41815
2018,other biomass thousand megawatthours,6347.61168
2017,other biomass thousand megawatthours,7061.74069
2016,other biomass thousand megawatthours,7265.07789
2015,other biomass thousand megawatthours,7155.21889
2014,other biomass thousand megawatthours,7101.56579
2013,other biomass thousand megawatthours,6282.33656
2012,other biomass thousand megawatthours,5274.88366
2011,other biomass thousand megawatthours,4673.6102
2010,other biomass thousand megawatthours,4369.05368
2009,other biomass thousand megawatthours,3894.44295
2008,other biomass thousand megawatthours,3185.60563
2007,other biomass thousand megawatthours,1976.40098
2006,other biomass thousand megawatthours,1550.37161
2005,other biomass thousand megawatthours,872.24004
2004,other biomass thousand megawatthours,872.41673
2003,other biomass thousand megawatthours,1263.83938
2002,other biomass thousand megawatthours,495.55943
